loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original,default_rate_7dpd_seed,default_rate_51dpd_seed,default_rate_365dpd_seed,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
200,,1.171,0.1888,0.079,0.065,0.065,,0.06447079,0.053727942,0.047215448,,
