market,month,recovery_7-30,recovery_30-51,recovery_51_
ph,64,0.18,0.07,0.04
ph,65,0.18,0.07,0.04
ph,66,0.18,0.07,0.04
ph,67,0.18,0.07,0.04
ph,68,0.18,0.07,0.04
ph,69,0.18,0.07,0.04
ph,70,0.18,0.07,0.04
ph,71,0.18,0.07,0.04
ph,72,0.18,0.07,0.04
ph,73,0.18,0.07,0.04
ph,74,0.18,0.07,0.04
ph,75,0.18,0.07,0.04
ph,76,0.18,0.07,0.04
ph,77,0.18,0.07,0.04
ph,78,0.18,0.07,0.04
ph,79,0.18,0.07,0.04
ph,80,0.18,0.07,0.04
ph,81,0.18,0.07,0.04
ph,82,0.18,0.07,0.04
ph,83,0.18,0.07,0.04
ph,84,0.18,0.07,0.04
ph,85,0.18,0.07,0.04
ph,86,0.18,0.07,0.04
ph,87,0.18,0.07,0.04
ph,88,0.18,0.07,0.04
ph,89,0.18,0.07,0.04
ph,90,0.18,0.07,0.04
ph,91,0.18,0.07,0.04
ph,92,0.18,0.07,0.04
ph,93,0.18,0.07,0.04
ph,94,0.18,0.07,0.04
ph,95,0.18,0.07,0.04
ph,96,0.18,0.07,0.04
ph,97,0.18,0.07,0.04
ph,98,0.18,0.07,0.04
ph,99,0.18,0.07,0.04
ph,100,0.18,0.07,0.04
mx,1,0.077,0.016,0.02
mx,2,0.0823,0.0161,0.02
mx,3,0.094,0.0196,0.02
mx,4,0.1003,0.0215,0.02
mx,5,0.1073,0.0194,0.02
mx,6,0.1129,0.0229,0.02
mx,7,0.1179,0.023,0.02
mx,8,0.1288,0.0311,0.02
mx,9,0.1456,0.0282,0.02
mx,10,0.1155,0.0151,0.02
mx,11,0.1196,0.0179,0.02
mx,12,0.1055,0.0183,0.02
mx,13,0.1055,0.0183,0.02
mx,14,0.1055,0.0183,0.02
mx,15,0.1055,0.0183,0.02
mx,16,0.1055,0.0183,0.02
mx,17,0.1055,0.0183,0.02
mx,18,0.1055,0.0183,0.02
mx,19,0.1055,0.0183,0.02
mx,20,0.1055,0.0183,0.02
mx,21,0.1055,0.0183,0.02
mx,22,0.1055,0.0183,0.02
mx,23,0.1055,0.0183,0.02
mx,24,0.1055,0.0183,0.02
mx,25,0.1055,0.0183,0.02
mx,26,0.1055,0.0183,0.02
mx,27,0.1055,0.0183,0.02
mx,28,0.1055,0.0183,0.02
mx,29,0.1055,0.0183,0.02
mx,30,0.1055,0.0183,0.02
mx,31,0.1055,0.0183,0.02
mx,32,0.1055,0.0183,0.02
mx,33,0.1055,0.0183,0.02
mx,34,0.1055,0.0183,0.02
mx,35,0.1055,0.0183,0.02
mx,36,0.1055,0.0183,0.02
mx,37,0.1055,0.0183,0.02
mx,38,0.1055,0.0183,0.02
mx,39,0.1055,0.0183,0.02
mx,40,0.1055,0.0183,0.02
mx,41,0.1055,0.0183,0.02
mx,42,0.1055,0.0183,0.02
mx,43,0.1055,0.0183,0.02
mx,44,0.1055,0.0183,0.02
mx,45,0.1055,0.0183,0.02
mx,46,0.1055,0.0183,0.02
mx,47,0.1055,0.0183,0.02
mx,48,0.1055,0.0183,0.02
mx,49,0.1055,0.0183,0.02
mx,50,0.1055,0.0183,0.02
mx,51,0.1055,0.0183,0.02
mx,52,0.1055,0.0183,0.02
mx,53,0.1055,0.0183,0.02
mx,54,0.1055,0.0183,0.02
mx,55,0.1055,0.0183,0.02
mx,56,0.1055,0.0183,0.02
mx,57,0.1055,0.0183,0.02
mx,58,0.1055,0.0183,0.02
mx,59,0.1055,0.0183,0.02
mx,60,0.1055,0.0183,0.02
mx,61,0.1055,0.0183,0.02
mx,62,0.1055,0.0183,0.02
mx,63,0.1055,0.0183,0.02
mx,64,0.1055,0.0183,0.02
mx,65,0.1055,0.0183,0.02
mx,66,0.1055,0.0183,0.02
mx,67,0.1055,0.0183,0.02
mx,68,0.1055,0.0183,0.02
mx,69,0.1055,0.0183,0.02
mx,70,0.1055,0.0183,0.02
mx,71,0.1055,0.0183,0.02
mx,72,0.1055,0.0183,0.02
mx,73,0.1055,0.0183,0.02
mx,74,0.1055,0.0183,0.02
mx,75,0.1055,0.0183,0.02
