loan_size,borrower_retention,loans_per_borrower,interest_rate,default_rate_7dpd,default_rate_51dpd,default_rate_365dpd,cumulative_ltv_per_original
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
198,,1.12,0.144,0.183808918,0.064122792,0.06155788,
