cohort,Count Borrowers,cumulative_cm$_per_original,cumulative_revenue_per_original,cumulative_origination_per_original,cumulative_ltv_per_original,cumulative_opex_per_original,cumulative_opex_coc_per_original,cumulative_opex_cpl_per_original
2020-09,7148.0,87.35794886011685,154.3043602478428,1043.2987294025409,64.23619963388752,23.1217492262293,11.30240290186086,11.819346324368453
2020-10,8848.0,76.09158138374899,140.12548991888866,944.434920227992,54.71651130079938,21.375070082949588,10.231378302469912,11.14369178047967
2020-11,7303.0,74.49711549901214,138.66457511323193,936.9480369087971,53.3541972991397,21.142918199872444,10.150270399845306,10.992647800027134
2020-12,7097.0,74.25245454225073,141.39344370024617,929.4395255919367,53.46977492651101,20.78267961573972,10.06892819391265,10.713751421827068
2021-01,8333.0,76.34113042954728,142.6638112874276,986.3932357012293,54.556637174481864,21.784493255065442,10.68592672009665,11.098566534968787
2021-02,7528.0,75.29693648770291,143.66009637843595,973.8749037722453,53.93514153139973,21.36179495630322,10.550311457532656,10.81148349877056
2021-03,7966.0,67.39693600584805,138.54839231427698,913.5365024284215,47.005783263892575,20.391152741955498,9.89664544297457,10.494507298980922
2021-04,7557.0,72.93154056935079,144.31872867158552,959.2184506505353,51.848616375952034,21.08292419339875,10.3915332153808,10.691390978017948
2021-05,8235.0,72.40163526275768,143.8496716701425,928.2237576153952,52.042132348787575,20.35950291397012,10.055757374166774,10.30374553980335
2021-06,7708.0,72.40375922903102,141.35628945587356,915.4668524751602,52.39859179819737,20.005167430833662,9.917557568480897,10.087609862352762
2021-07,6326.0,63.2870451765409,132.43162774361872,853.1437407355085,44.33855194980298,18.948493226737927,9.242390524634672,9.706102702103257
2021-08,5724.0,68.28358437763814,139.60711815569374,874.3308980286345,49.44862207903506,18.834962298603088,9.47191806197687,9.363044236626209
2021-09,6065.0,64.56577535365355,139.05018476490676,874.9269230403871,45.820080787833476,18.74569456582009,9.478374999604194,9.2673195662159
