,first_loan_local_disbursement_month,months_since_first_loan_disbursed,count_borrowers,count_loans,total_amount,total_interest_assessed,total_rollover_charged,total_rollover_reversed,default_rate_amount_7d,default_rate_amount_30d,default_rate_amount_51d,default_rate_amount_365d
21,2017-01,20,28,31,220500.0,32335.0,2416.0,0.0,0.1649494729764471,0.0693826860619547,0.0693826860619547,0.0693826860619547
22,2017-01,22,27,28,187500.0,27245.0,2116.0,0.0,0.12316934038045123,,,
23,2017-01,24,25,29,193500.0,27925.0,3434.0,0.0,0.21140340973241503,0.13988766293543956,0.08837538190599442,0.08837538190599442
24,2017-01,26,24,29,222500.0,31675.0,2806.0,0.0,0.13799547555817843,,,
25,2017-01,27,24,27,201000.0,28310.0,4535.0,0.0,0.24719811608739262,,,
26,2017-01,23,24,24,164500.0,23755.0,2842.0,0.0,0.18873336697564475,0.10723873216220035,0.09457500641035704,0.09457500641035704
27,2017-01,29,24,25,211500.0,30145.0,2256.0,0.0,0.11667942643133522,0.042066248190864325,0.036900217711284496,0.03403020077818459
28,2017-01,31,22,24,201500.0,29865.0,2059.0,0.0,0.14602467961878418,0.06118908081431215,0.026603948180135718,0.026603948180135718
29,2017-01,30,21,23,187500.0,28085.0,2438.0,0.0,0.10935361922211656,0.0025318429706957524,0.0025318429706957524,0.0025318429706957524
30,2017-01,32,21,21,191000.0,27690.0,4341.0,0.0,0.2481137683478897,0.09600010760835938,0.05568732597710632,0.05568732597710632
31,2017-01,25,21,22,147500.0,20805.0,2688.0,0.0,0.19966727072873652,0.15414081278180977,0.08051206774546327,0.07220763423064103
32,2017-01,34,20,21,178000.0,26700.0,1096.0,0.0,0.06744015632633121,0.04574918851678361,0.04574918851678361,0.024781822775952884
33,2017-01,28,19,20,157000.0,21350.0,736.0,0.0,0.05158396411550322,,,
34,2017-01,35,15,15,141500.0,21525.0,1656.0,0.0,0.1269743904309155,0.13575336559773138,0.13575336559773138,0.10537883801555546
35,2017-01,36,15,16,165000.0,24450.0,1214.0,0.0,0.08010029031406704,0.0651407711995972,0.0651407711995972,0.0651407711995972
36,2017-01,33,15,15,146000.0,21300.0,0.0,0.0,,,,
37,2017-01,37,13,13,139500.0,20800.0,4612.0,0.0,0.35966936993137866,0.3198493742117008,0.2098270592801009,0.1117308951567919
38,2017-01,52,11,11,100000.0,15240.0,806.0,0.0,0.08742411101474415,0.0937591511205278,0.0937591511205278,0.14277470293523595
39,2017-01,53,10,10,92500.0,13220.0,0.0,0.0,,,,
40,2017-01,54,10,11,114500.0,16900.0,1021.0,0.0,0.09703422053231939,0.10399106556696674,0.10399106556696674,
41,2017-01,50,10,11,103000.0,15080.0,0.0,0.0,,,,
42,2017-01,48,10,12,130500.0,18980.0,0.0,0.0,,,,
43,2017-01,47,9,10,114500.0,16480.0,0.0,0.0,,,,
44,2017-01,56,9,9,93000.0,14000.0,1392.0,0.0,0.16249533059394844,,,
45,2017-01,49,8,8,98000.0,14760.0,0.0,0.0,,,,
46,2017-01,51,8,9,102000.0,14580.0,0.0,0.0,,,,
47,2017-01,55,8,8,87000.0,11600.0,0.0,0.0,,,,
48,2017-01,44,7,7,73000.0,11430.0,0.0,0.0,,,,
49,2017-01,58,7,7,70000.0,10180.0,0.0,0.0,,,,
50,2017-01,57,7,8,98000.0,13390.0,0.0,0.0,,,,
51,2017-01,46,7,8,81500.0,12080.0,0.0,0.0,,,,
52,2017-01,45,7,9,108500.0,16160.0,1392.0,0.0,0.13957965666613187,0.14511471456224415,0.14511471456224415,0.14511471456224415
53,2017-01,64,7,8,98500.0,18480.0,0.0,0.0,,,,
54,2017-01,60,6,8,66500.0,9690.0,384.0,0.0,0.06296733569460843,0.061121695331054104,0.028484231943031537,
55,2017-01,62,6,6,61500.0,12810.0,840.0,0.0,0.22589753933037515,,,
56,2017-01,43,6,7,90500.0,12190.0,0.0,0.0,,,,
57,2017-01,59,6,7,82000.0,12350.0,0.0,0.0,,,,
58,2017-01,63,6,7,73500.0,9635.0,828.0,0.0,0.19918283963227784,,,
59,2017-01,42,4,4,41500.0,6240.0,0.0,0.0,,,,
60,2017-01,65,3,3,24500.0,3000.0,0.0,0.0,,,,
61,2017-01,61,2,2,22000.0,5085.0,0.0,0.0,,,,
62,2017-01,41,1,1,13000.0,2080.0,0.0,0.0,,,,
63,2017-02,0,155,250,286000.0,40180.0,5306.0,0.0,0.20119206503275905,0.19292149522666618,0.18013887147522584,0.17763130399479382
64,2017-02,1,75,108,210500.0,29875.0,2325.0,0.0,0.11993225373904069,0.10260147118921123,0.10117114834491209,0.10117114834491209
65,2017-02,2,60,73,163000.0,23250.0,1929.0,0.0,0.14092961487383798,0.09109312805304476,0.09109312805304476,0.09109312805304476
66,2017-02,3,51,54,153500.0,21785.0,1876.0,0.0,0.15010982114841545,0.11147487313799312,0.0596293766686799,0.05116250190504682
67,2017-02,4,44,51,166500.0,23855.0,2560.0,0.0,0.18633605631583094,0.12732032242179198,0.10465749164139647,0.08534328590311796
68,2017-02,5,40,41,151500.0,21905.0,3703.0,0.0,0.2668896513941351,0.16129141540754793,0.16129141540754793,0.16129141540754793
69,2017-02,6,39,42,156000.0,22660.0,4034.0,0.0,0.282212022836673,0.209683952401283,0.209683952401283,0.20087140245437726
