First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Default Rate Amount 365D
2015-03,9,0,368,509,2807000,377770,43250,370,0.171145797,0.118961778,0.102237285,0.070310593
2015-03,3,0,445,653,2536000,250280,8281,0,0.200288198,0.114662202,0.093393701,0.05073503
2015-03,23,0,230,260,2232000,323080,39125,0,0.192962256,0.108459432,0.09027043,0.06270129
2015-03,49,0,119,129,2075000,260380,35385,0,0.190199025,0.106431047,0.093724178,0.052477998
2015-03,41,0,148,169,2182000,298880,34226,0,0.182129728,0.08014533,0.050316766,0.0402655
2015-03,22,0,230,254,2154000,304940,29632,0,0.151268433,0.081670934,0.061395451,0.04118828
2015-03,72,0,39,45,822000,117070,5848,0,0.077842972,0.039031958,0.039031958,
2015-03,76,0,40,44,930000,130780,10629,0,0.125247459,0.063905567,0.056708503,
2015-03,57,0,82,93,1854000,260370,45053,2300,0.267220969,0.120591936,0.111932215,0.086360569
2015-03,47,0,125,143,2047000,267390,25271,0,0.137701079,0.086982687,0.071328282,0.060897284
2015-03,1,0,702,1039,4048000,404950,30553,0,0.200232153,0.154798774,0.138979108,0.091549109
2015-03,52,0,104,122,2324000,279830,41367,0,0.199031043,0.124265603,0.110318059,0.083973708
2015-03,18,0,283,326,2601500,362495,44139,0,0.192501674,0.080606781,0.050271364,0.028464158
2015-03,74,0,34,38,791000,107180,8371,0,0.11650226,0.049303349,0.044957206,
2015-04,0,1470,1470,3002,10342000,1116020,122664,0,0.205688505,0.175067158,0.168007474,0.140363431
2015-04,36,0,174,188,2190000,308080,37038,0,0.190342183,0.096241674,0.049758631,0.014039583
2015-04,70,0,45,48,984000,139960,14786,0,0.169953813,0.073088292,0.068697497,
2015-04,61,0,19,23,144000,15150,0,0,0.001231543,0.001231543,0.001231543,0.001231543
2015-04,37,0,167,181,2206000,307620,41505,0,0.206704673,0.062418864,0.023601585,0.00842855
2015-04,34,0,182,205,2302000,313330,25967,0,0.129287317,0.054907116,0.02365921,0.014715876
2015-04,17,0,315,363,2908000,408490,53596,0,0.206411899,0.113116401,0.087589753,0.053225348
2015-04,24,0,225,250,2303000,333790,34528,0,0.165214901,0.079044127,0.044056155,0.020339024
2015-04,42,0,157,184,2363000,295450,28136,0,0.132556941,0.045647524,0.034505503,0.012909693
2015-04,68,0,55,61,1033000,143670,17602,2616,0.18708049,0.082684682,0.07431138,0.025589648
2015-04,76,0,42,44,944000,137870,9122,0,0.108012807,0.041140062,0.041140062,
2015-04,8,0,420,577,3258000,447650,41050,0,0.147777043,0.08262551,0.064051832,0.042490458
2015-04,2,0,627,892,3557000,387790,16789,0,0.213376377,0.141073416,0.110052753,0.062780275
2015-04,77,0,47,51,1037000,140740,8456,0,0.089745614,0.007533325,0.007533325,
2015-04,44,0,177,204,2888000,381940,35026,0,0.137482645,0.070341722,0.058471706,0.043084558
2015-04,56,0,97,111,2119000,287620,45953,1094,0.238709061,0.129848123,0.087886069,0.078240281
2015-04,4,0,466,671,2756000,299800,9863,0,0.231683683,0.120798154,0.08422508,0.049829177
2015-04,6,0,429,626,2942000,377870,10260,0,0.158982731,0.079379694,0.062326853,0.037105541
2015-04,10,0,350,448,2757500,370355,40510,0,0.162228428,0.094099638,0.073943185,0.034435426
2015-04,82,0,32,33,846000,123910,0,0,,,,
2015-04,72,0,45,46,876000,116330,9361,0,0.096152685,0.066876911,0.046175917,
2015-04,66,0,55,59,927000,128020,19723,2113,0.233669504,0.092816608,0.084607204,0.062769425
2015-04,23,0,250,282,2622500,380905,43162,0,0.183701832,0.091618533,0.070275165,0.039949556
2015-04,27,0,181,204,2266000,321180,32787,0,0.158859453,0.08669384,0.076137982,0.043458181
2015-04,7,0,413,575,2949000,397850,35603,0,0.14986928,0.092970599,0.070488346,0.046288452
2015-04,18,0,311,359,2871500,403885,42872,0,0.164683846,0.080626666,0.059356162,0.040219007
2015-04,50,0,128,143,2531000,289840,38788,0,0.177417483,0.066100256,0.048887015,0.038497085
2015-04,32,0,193,225,2591000,395780,44226,0,0.192059007,0.07483555,0.054151988,0.018618571
2015-04,39,0,166,179,2265000,345780,43525,0,0.208871678,0.106123825,0.060386052,0.055124411
2015-04,52,0,95,114,2406000,283720,16334,0,0.077147064,0.034180397,0.014032979,0.001228726
2015-04,22,0,228,255,2260000,316600,26892,0,0.131123186,0.065134443,0.051245788,0.028171779
2015-04,45,0,155,179,2633000,324690,38861,0,0.169808284,0.081713944,0.059372926,0.029133494
2015-04,38,0,154,164,2116000,292920,30435,0,0.158578948,0.082232803,0.034443531,0.022162416
2015-04,49,0,139,161,2658000,299690,23341,0,0.099487438,0.045401742,0.033448159,0.019051798
2015-04,60,0,19,23,115000,11450,1576,0,0.134618118,0.046826426,7.81E-06,7.81E-06
2015-04,53,0,94,102,2162000,266640,19845,6720,0.102260524,0.057523734,0.048900443,0.028190493
2015-04,79,0,41,43,978000,130460,10501,0,0.118423759,0.047341745,0.047341745,
2015-04,11,0,350,422,2736000,375355,45460,0,0.185014568,0.083657737,0.066117907,0.048443447
2015-04,64,0,57,65,765000,108980,19523,2776,0.266542713,0.160122574,0.141667124,0.118570391
2015-04,16,0,326,382,2995000,413550,50411,0,0.188230773,0.112194963,0.094712256,0.063766547
2015-04,59,0,25,29,451000,53820,15451,1598,0.382835466,0.308210529,0.302444303,0.113285192
2015-04,29,0,196,235,2457000,348170,37459,0,0.167314637,0.105830553,0.076220639,0.046794007
2015-04,51,0,124,143,2604000,291510,41455,0,0.181173265,0.084432399,0.077260029,0.055250914
2015-04,28,0,222,254,2638000,383610,37250,0,0.154838977,0.081829178,0.048869187,0.031528739
2015-04,69,0,51,57,978000,135040,21837,0,0.245204126,0.087581297,0.075567661,0.01079096
2015-04,80,0,39,40,900000,157610,10898,0,0.137374939,0.024531168,0.049651765,
2015-04,15,0,352,412,3175500,442985,56700,0,0.199647919,0.129367093,0.093721268,0.0500568
2015-04,40,0,166,190,2351000,333470,24074,0,0.116740735,0.06379996,0.057005166,0.033442322
2015-04,73,0,49,56,1162000,165650,12711,0,0.113665537,0.049030075,0.049030075,
2015-04,57,0,91,108,2163000,300720,35259,2391,0.192650951,0.097255719,0.083557725,0.060628761
2015-04,14,0,358,410,3051000,415010,46530,0,0.177510451,0.09912001,0.065457475,0.043131751
2015-04,75,0,48,51,1017000,142320,12078,0,0.130871378,0.031610093,0.027919631,
2015-04,43,0,164,185,2440000,312340,21740,0,0.101539136,0.032583154,0.028584996,0.016992352
2015-04,67,0,51,57,876000,125090,15011,3351,0.187435695,0.111796957,0.068601448,0.068413652
2015-04,63,0,26,31,288000,39560,3378,340,0.121169224,0.015561827,0.01405097,0.013295542
2015-04,55,0,105,124,2508000,324710,42531,0,0.187977943,0.101818943,0.086050874,0.066136021
2015-04,71,0,44,53,965000,136310,14963,0,0.169915828,0.115977901,0.084376313,
2015-04,25,0,231,257,2469000,346430,42861,0,0.192137258,0.108967561,0.082024888,0.062895276
2015-04,1,0,820,1225,5011000,544670,53188,0,0.246253107,0.192194821,0.179314286,0.13019959
2015-04,9,0,400,515,3037500,425030,45690,0,0.166139499,0.092768127,0.083624459,0.056598788
2015-04,3,0,519,744,3054000,331380,12341,0,0.192469088,0.109055409,0.084361578,0.0543038
2015-04,83,0,6,6,141000,20580,0,0,,,,
2015-04,74,0,44,46,952000,122040,15150,0,0.178344541,0.131180969,0.119378621,
2015-04,78,0,43,50,1105000,152730,14111,0,0.140235981,0.0935282,0.089211623,
2015-04,41,0,182,208,2487000,326200,47661,0,0.207003057,0.094216391,0.076360928,0.05657947
2015-04,31,0,195,216,2338000,327260,27680,0,0.138699414,0.060775584,0.03215222,0.007860925
2015-04,30,0,194,222,2340000,330610,32122,0,0.158207301,0.083219868,0.063300024,0.053808147
2015-04,81,0,35,38,828000,139040,12087,0,0.244371482,0.04383568,,
2015-04,65,0,50,57,856000,110830,15376,456,0.199373209,0.070490304,0.051840449,0.039623053
2015-04,47,0,138,151,2319000,294540,27983,0,0.141504626,0.061722726,0.047720576,0.026111073
2015-04,54,0,129,150,2815000,375320,38898,4854,0.153497768,0.121044166,0.106013282,0.074968305
2015-04,48,0,134,157,2602000,306470,32516,0,0.14113778,0.082541365,0.060611645,0.032509845
2015-04,13,0,359,436,3198500,438815,49520,0,0.172508458,0.103244916,0.07708623,0.062525495
2015-04,26,0,191,209,2204000,335590,30112,0,0.153220008,0.066564917,0.057238154,0.018297452
2015-04,20,0,263,307,2819500,448705,45231,0,0.172266122,0.129935511,0.109058391,0.049801173
2015-04,58,0,79,81,1695000,243170,53232,12420,0.339939718,0.34391801,0.317835743,0.200636838
2015-04,62,0,21,23,157000,16130,1132,0,0.066619746,0.035911444,0.035911444,0.035911444
2015-04,12,0,332,390,2644500,350675,39760,0,0.167441565,0.07018268,0.053626012,0.040604025
2015-04,33,0,197,222,2460000,352540,29381,0,0.130948538,0.060344042,0.035460873,0.014673525
2015-04,35,0,187,212,2410000,337240,43360,0,0.200190009,0.07151007,0.040590912,0.028898445
2015-04,46,0,144,161,2363000,292740,31122,0,0.146667972,0.081680786,0.058888026,0.0404978
2015-04,21,0,247,287,2312500,320075,24053,0,0.122566689,0.0679173,0.043222461,0.029934187
2015-04,19,0,276,312,2606000,364360,52744,0,0.222388869,0.124350998,0.089922477,0.049273197
2015-04,5,0,437,595,2550000,277980,8289,0,0.213344154,0.097604297,0.074082207,0.044035318
2015-05,0,2208,2208,4635,42135000,4321410,949298,0,0.302096475,0.278208341,0.272564169,0.258476699
2015-05,36,0,220,246,3011000,424100,43346,0,0.158002969,0.083481244,0.065466016,0.056032205
2015-05,11,0,433,493,3572500,523025,61610,0,0.187644228,0.108920741,0.083568537,0.057967569
2015-05,71,0,56,61,1299000,183080,21779,0,0.18513255,0.110807596,0.076377506,
2015-05,48,0,174,199,3270000,404840,52238,644,0.177916862,0.093989179,0.082401549,0.054232565
2015-05,21,0,339,367,3225500,462565,45458,0,0.155214998,0.071097192,0.057108259,0.029830806
2015-05,32,0,265,291,3149000,451680,48949,0,0.172340225,0.111563943,0.064853441,0.023886538
2015-05,43,0,205,229,3391000,440860,42866,0,0.155128841,0.074892005,0.056484252,0.027694862
2015-05,12,0,462,561,3880000,531520,50410,0,0.148989137,0.091635722,0.071984499,0.040678345
2015-05,68,0,68,77,1503000,213810,25297,0,0.198233934,0.082879525,0.077720829,0.039786709
2015-05,58,0,25,28,341000,43930,13861,0,0.458371414,0.249308535,0.194131763,0.107193994
2015-05,15,0,451,523,4156000,600290,79292,0,0.21545238,0.119487375,0.088242946,0.050306457
2015-05,26,0,257,287,3131000,455150,40803,0,0.142583333,0.063862657,0.04163935,0.028826861
2015-05,2,0,853,1245,8425000,882110,149197,0,0.35932342,0.269894023,0.24715275,0.215261377
2015-05,45,0,182,197,2899000,376630,35062,0,0.134491075,0.049686591,0.047000446,0.023070705
2015-05,19,0,371,422,3635500,562905,62790,0,0.185544034,0.096229813,0.07620116,0.037407816
2015-05,60,0,16,20,137000,13780,779,0,0.094064199,0.047836156,0.047176347,0.047176347
2015-05,42,0,228,270,3495000,447490,52195,0,0.166633777,0.062286764,0.046326306,0.027542097
2015-05,74,0,60,66,1435000,202300,28556,0,0.219911435,0.141671909,0.097692751,
2015-05,81,0,33,35,782000,124600,0,0,,,,
2015-05,6,0,569,775,5695000,888050,85488,0,0.173382551,0.119215426,0.102455247,0.082363451
2015-05,79,0,45,47,1086000,162550,11290,0,0.11303432,0.094018547,0.0152292,
2015-05,23,0,338,381,3506000,508040,56333,0,0.176342538,0.10959659,0.065117128,0.032932363
2015-05,41,0,223,257,3324000,445670,32188,0,0.108167824,0.038809708,0.035661774,0.022660762
2015-05,7,0,551,749,6145000,969130,102500,0,0.183628075,0.12873391,0.114330096,0.099549021
2015-05,69,0,59,66,1368000,191440,24047,0,0.19660455,0.073406981,0.062521511,0.100442505
2015-05,67,0,64,73,1372000,192450,18018,4037,0.145725335,0.076736465,0.06647591,0.043458067
2015-05,38,0,215,234,2847000,393160,46044,0,0.178014357,0.07828881,0.059856601,0.030967341
2015-05,9,0,469,576,3940000,573265,68180,0,0.265533489,0.21528799,0.194467732,0.132256278
2015-05,27,0,329,362,3555000,507690,53120,0,0.164321423,0.096631526,0.055921192,0.027585822
2015-05,62,0,23,28,229000,32370,4034,0,0.172093201,-0.011258308,-0.011258308,-0.020534732
2015-05,75,0,55,57,1203000,169780,24690,0,0.225145011,0.064118013,0.056726799,
2015-05,80,0,44,54,1175000,162050,9839,0,0.119765494,0.083583065,,
2015-05,34,0,236,262,3015000,440110,42510,0,0.165409495,0.076390231,0.047667557,0.020500512
2015-05,59,0,8,14,70000,5800,656,0,0.084828711,0.011745318,0.011745318,0.011745318
2015-05,78,0,48,52,1131000,175630,19383,0,0.189873185,0.146676072,0.119995225,
2015-05,35,0,243,274,3083000,432040,47653,0,0.172347399,0.081716836,0.042884694,0.028175316
2015-05,10,0,447,564,3558400,486795,52300,0,0.164564286,0.084292005,0.068754871,0.041257069
2015-05,72,0,53,57,1215000,172170,10316,0,0.095921913,0.023425637,0.023425637,
2015-05,24,0,292,351,3333000,477130,46387,0,0.15275778,0.073584014,0.047940149,0.033313479
2015-05,70,0,56,62,1229000,178390,13462,0,0.119568847,0.082646891,0.063292306,
2015-05,77,0,52,59,1380000,193960,21900,0,0.173930723,0.092368378,0.089235271,
2015-05,28,0,297,334,3418000,499480,53781,0,0.177186865,0.116785072,0.088019649,0.054431829
2015-05,18,0,393,454,3727500,536965,69651,0,0.209933251,0.110628327,0.066331866,0.02484036
2015-05,49,0,181,210,3634000,433120,61960,0,0.192674669,0.080404836,0.055197768,0.028604193
2015-05,39,0,222,246,3004000,424090,32621,0,0.119220032,0.049146548,0.026220912,0.010562858
2015-05,82,0,8,8,174000,23020,0,0,,,,
2015-05,20,0,357,427,3531500,502395,44182,0,0.141748856,0.085217371,0.053773874,0.028827067
2015-05,47,0,189,221,3477000,439980,65766,0,0.210375851,0.088482168,0.058761217,0.044950142
2015-05,25,0,266,296,3021000,431270,36570,0,0.133977354,0.057003187,0.033751333,0.017346453
2015-05,17,0,419,494,3922500,547595,67034,0,0.187938064,0.104092037,0.07811129,0.050995905
2015-05,54,0,134,149,2783000,378070,43379,547,0.172784848,0.099983492,0.07754032,0.066710377
2015-05,66,0,72,82,1495000,229220,25091,0,0.183604973,0.091968209,0.086579802,0.051979005
2015-05,76,0,45,48,1127000,157420,11962,0,0.11641052,0.055864707,0.02805346,
2015-05,50,0,152,173,3243000,397330,59041,1564,0.203032417,0.116190563,0.088116331,0.046136222
2015-05,44,0,211,247,3519000,454680,50491,0,0.159470818,0.1114145,0.07837987,0.058320335
2015-05,40,0,226,257,3084000,410530,42449,0,0.152313759,0.078632358,0.053352875,0.023949817
2015-05,14,0,460,541,4066500,580755,63864,0,0.167790448,0.100329879,0.060808695,0.035938808
2015-05,46,0,193,220,3165000,406650,53560,0,0.18758165,0.079670143,0.058697013,0.035312437
2015-05,5,0,650,967,6494000,942150,32876,0,0.166988966,0.081939714,0.070077574,0.045698683
2015-05,64,0,65,75,1266000,173160,19740,456,0.171454182,0.040530537,0.02475838,0.02475838
2015-05,31,0,263,284,3011000,430690,45474,0,0.165524205,0.080402872,0.063483392,0.035043089
2015-05,37,0,225,247,3136000,445320,51656,0,0.180729731,0.070512164,0.058754035,0.024045576
2015-05,4,0,649,920,5410000,577620,51140,0,0.278405109,0.178908147,0.169881188,0.111861474
2015-05,53,0,155,174,3280000,427700,65610,2664,0.221653855,0.11914261,0.094181236,0.052429034
2015-05,22,0,342,394,3648500,544495,55339,0,0.167304755,0.09601858,0.059008072,0.034030046
2015-05,52,0,119,139,2910000,349570,30842,0,0.129193114,0.109873171,0.105453664,0.07654239
2015-05,16,0,433,504,3850500,536235,73249,0,0.211205145,0.095848774,0.072628287,0.040663375
2015-05,55,0,123,141,2726000,384880,51577,3490,0.207340045,0.123743026,0.104458337,0.070288387
2015-05,56,0,112,127,2573000,365160,56566,20831,0.249163422,0.161828494,0.134944566,0.06734172
2015-05,57,0,97,108,2064000,289510,71059,32903,0.378320466,0.348619487,0.329444532,0.18294633
2015-05,33,0,241,258,2823000,397100,42891,0,0.169752803,0.063744583,0.038702834,0.01641071
2015-05,8,0,525,695,5404000,859925,137980,0,0.277400033,0.222484714,0.203883219,0.154950441
2015-05,3,0,731,1056,6244000,664280,85621,0,0.311395022,0.223742234,0.211147203,0.164297625
2015-05,29,0,290,320,3343000,494370,51700,0,0.178347048,0.088783587,0.07152083,0.050878963
2015-05,1,0,1127,1708,15058000,1565750,333669,0,0.377983969,0.312662727,0.303562493,0.260704534
2015-05,73,0,53,61,1329000,177050,9811,0,0.081779691,0.052038412,0.030647929,
2015-05,13,0,469,540,4010500,560835,64960,0,0.179592614,0.098296808,0.080688998,0.050852459
2015-05,61,0,12,13,124000,25060,0,0,0.020206628,0.020206628,0.020206628,0.020206628
2015-05,51,0,131,153,3183000,389970,47558,0,0.166694934,0.112005763,0.074438314,0.064247535
2015-05,63,0,73,92,1254000,183250,20556,4379,0.183467803,0.157731798,0.14492611,0.076492425
2015-05,30,0,285,325,3412000,482080,55343,0,0.175267072,0.075337334,0.046619468,0.031946186
2015-05,65,0,64,71,1180000,162850,20119,3648,0.18726589,0.110293044,0.068807141,0.051142763
2015-06,0,2612,2612,4913,36045000,3735390,1600450,0,0.542423581,0.527657586,0.523405494,0.5062142
2015-06,20,0,385,433,3751500,535545,57353,0,0.170337843,0.088455984,0.071883377,0.048275733
2015-06,62,0,97,105,1404000,223490,40933,8760,0.290568733,0.160231947,0.146897005,0.106375506
2015-06,14,0,533,611,4847000,687790,89153,0,0.215759044,0.107742024,0.07501943,0.038068487
2015-06,28,0,340,377,3980000,574220,45032,0,0.126372024,0.062061396,0.043949973,0.030247092
2015-06,61,0,28,30,292000,37390,4933,0,0.187194511,0.041199678,0.041199678,0.025962916
2015-06,80,0,49,52,1156000,190310,1424,0,0.158489894,,,
2015-06,54,0,162,174,3478000,499640,71731,762,0.228867887,0.122063752,0.104298024,0.090172456
2015-06,13,0,566,662,5106500,713695,97780,0,0.211052551,0.113992202,0.08751186,0.049857088
2015-06,59,0,21,22,168000,23660,5014,0,0.326985286,0.169900444,0.169900444,
2015-06,40,0,292,336,4340000,578650,64587,0,0.165747512,0.05920168,0.052812258,0.033003849
2015-06,1,0,1180,1764,9111000,974310,156864,0,0.313828163,0.25162208,0.238133975,0.210564685
2015-06,17,0,478,546,4596000,657500,77986,0,0.18719882,0.092308598,0.070987338,0.039350568
2015-06,41,0,276,317,4187000,551790,62315,0,0.167321827,0.078768325,0.062397302,0.040195122
2015-06,26,0,377,414,4087000,585330,59908,0,0.164040639,0.085353484,0.0563112,0.021725661
2015-06,10,0,546,634,4271500,588625,65070,0,0.167464211,0.084364985,0.053182463,0.036036543
2015-06,42,0,266,298,4395000,582540,73917,0,0.186371079,0.05673472,0.049139288,0.038520569
2015-06,7,0,639,827,5107500,748735,69070,0,0.151684999,0.095089451,0.071040056,0.039126256
2015-06,30,0,327,372,4123000,589760,52231,0,0.139036573,0.069873794,0.041534811,0.010789527
2015-06,12,0,573,670,5014500,722015,89152,0,0.19859636,0.129633911,0.10821748,0.067056528
2015-06,32,0,287,312,3436000,488600,48932,0,0.158433471,0.107058405,0.0761826,0.05096423
2015-06,75,0,63,70,1462000,210100,11222,0,0.083888523,0.043222271,0.038718677,
2015-06,15,0,489,557,4576000,641440,80746,0,0.195937471,0.093593166,0.076880653,0.045000496
2015-06,33,0,308,340,3860000,558690,53630,0,0.152327273,0.069949154,0.04081707,0.012418163
2015-06,16,0,489,570,4657000,656330,67919,0,0.163007944,0.087493257,0.064255157,0.035806929
2015-06,47,0,210,243,4127000,515270,54928,736,0.148519797,0.055144791,0.04159203,0.026830889
2015-06,52,0,199,221,4291000,608700,70545,0,0.184639672,0.119968332,0.091221861,0.077669008
2015-06,35,0,287,324,4087000,577620,60309,0,0.16480485,0.074688318,0.037764165,0.012312566
2015-06,56,0,150,162,3355000,481350,133834,31915,0.43717094,0.344779234,0.309671038,0.199436349
2015-06,73,0,63,68,1461000,203200,12797,0,0.096509659,0.052180177,0.040195659,
2015-06,5,0,684,961,5186000,713780,65090,0,0.152039568,0.076544669,0.060562929,0.03465306
2015-06,23,0,371,426,3928000,555520,47921,0,0.135846389,0.087601273,0.06100576,0.030170977
2015-06,49,0,211,242,4340000,551700,81081,0,0.206757971,0.111635687,0.090053117,0.064485747
2015-06,64,0,85,93,1535000,224610,20738,0,0.147327533,0.06384426,0.058826701,0.03612159
2015-06,77,0,60,67,1335000,211330,11880,0,0.096104324,0.084523267,0.046599708,
2015-06,63,0,89,93,1429000,205750,25545,3447,0.19533262,0.076723112,0.074434363,0.052707501
2015-06,2,0,916,1361,5978000,650380,51546,0,0.244481457,0.156745087,0.13990417,0.106142225
2015-06,24,0,338,373,3779000,555220,43964,0,0.128459331,0.05671187,0.04321632,0.027771788
2015-06,6,0,658,910,5278000,737800,66310,0,0.146809313,0.083769285,0.068758305,0.049420437
2015-06,78,0,55,59,1302000,205840,18871,0,0.159726172,0.109629804,0.138665885,
2015-06,58,0,14,14,70000,8100,460,0,0.07362356,,,
2015-06,48,0,223,255,4633000,584050,63466,0,0.152337815,0.047641935,0.04368967,0.032981625
2015-06,31,0,325,369,4039000,574450,68727,0,0.186752647,0.062852814,0.037517591,0.026906501
2015-06,22,0,386,424,3885000,582440,71260,0,0.205187982,0.101407451,0.083302928,0.031638355
2015-06,43,0,258,300,4136000,538750,45276,0,0.126529547,0.043021161,0.031517835,0.019305826
2015-06,46,0,233,263,4304000,541140,71469,0,0.184686098,0.07780037,0.056690699,0.034385488
2015-06,67,0,86,96,1736000,236520,16955,0,0.107447833,0.047953355,0.047953355,0.03377439
2015-06,44,0,241,266,4022000,535290,53737,0,0.142655394,0.07725112,0.057329528,0.03638929
2015-06,65,0,82,89,1603000,221420,29837,2086,0.204492387,0.122834645,0.108714164,0.081379226
2015-06,38,0,283,319,4065000,563390,51618,0,0.142564477,0.048964019,0.037106774,0.021748681
2015-06,39,0,290,323,4206000,574730,61241,0,0.165891402,0.072998992,0.052192175,0.031946081
2015-06,18,0,452,518,4558000,687380,86949,0,0.205097438,0.098847989,0.073267235,0.037852503
2015-06,66,0,73,82,1421000,203060,16541,982,0.123246786,0.07413137,0.060323625,0.052444805
2015-06,70,0,82,89,1719000,249560,29777,0,0.203377529,0.115255835,0.104827164,
2015-06,8,0,591,740,4647000,663695,66510,0,0.194882402,0.128960492,0.106741513,0.084559915
2015-06,68,0,73,78,1446000,195810,19080,0,0.146918682,0.05720728,0.05287647,0.029537509
2015-06,50,0,156,173,3466000,432410,45852,0,0.147075603,0.064494448,0.050492843,0.035873124
2015-06,19,0,394,444,3925500,566415,61904,0,0.175389116,0.095701871,0.070871723,0.041883966
2015-06,60,0,32,38,330000,48580,2910,0,0.096122352,0.01616294,0.01616294,0.01616294
2015-06,69,0,78,88,1656000,233430,26359,0,0.174391219,0.058829548,0.043007868,
2015-06,53,0,178,191,3731000,529740,46893,0,0.137703779,0.081860502,0.070126215,0.042259403
2015-06,57,0,49,49,797000,116640,43050,1907,0.588995666,0.568116109,0.444309024,0.304001296
2015-06,36,0,285,313,3806000,538810,50485,0,0.146037366,0.055387409,0.036639406,0.013385677
2015-06,11,0,557,657,4734500,653455,76030,0,0.185783176,0.118544767,0.08907088,0.063438457
2015-06,76,0,58,66,1399000,198500,19931,0,0.155956182,0.060879259,0.043927067,
2015-06,25,0,296,331,3654000,538780,45894,0,0.137163171,0.073589759,0.051409238,0.02994026
2015-06,72,0,67,73,1531000,216040,26101,0,0.187586558,0.090693295,0.088348868,
2015-06,55,0,155,167,3357000,490030,38392,3998,0.12475988,0.082702214,0.081603234,0.054709115
2015-06,71,0,77,83,1723000,243460,23120,0,0.15113445,0.089988339,0.082568683,
2015-06,37,0,276,311,4026000,572010,49854,0,0.140177816,0.034960575,0.026113501,0.010646826
2015-06,79,0,49,53,1127000,172890,15155,0,0.183962402,,,
2015-06,21,0,401,458,4143500,607965,62421,0,0.164817798,0.081434625,0.061215201,0.040628507
2015-06,27,0,357,404,4264000,628590,44998,0,0.115234262,0.062772147,0.044326501,0.02620247
2015-06,34,0,294,327,3782000,538620,48447,0,0.143157695,0.045852352,0.028365782,0.016902007
2015-06,74,0,67,71,1521000,229640,26308,0,0.189698722,0.149169884,0.140961972,
2015-06,51,0,141,160,3395000,443550,31889,0,0.10395045,0.052556054,0.044173284,0.021564996
2015-06,9,0,562,703,4572500,630500,81520,0,0.198164905,0.125086668,0.094856297,0.059812623
2015-06,81,0,7,7,88000,15220,0,0,,,,
2015-06,4,0,756,1137,5752000,724880,43690,0,0.18133237,0.124168279,0.096511556,0.076993529
2015-06,29,0,329,371,4023000,581530,52971,0,0.150207513,0.070742229,0.038607184,0.02126999
2015-06,3,0,823,1171,5335000,580400,25792,0,0.211752882,0.102909524,0.083836765,0.064680276
2015-06,45,0,243,281,4188000,546010,52894,736,0.140141656,0.063043253,0.050759531,0.026879795
2015-07,0,4861,4861,8528,72647000,7447081,3974561,0,0.656685799,0.643965362,0.637919274,0.626833423
2015-07,68,0,112,126,2427000,342540,30312,0,0.138128353,0.07583258,0.05793842,
2015-07,15,0,753,869,6800000,955440,131184,0,0.217442079,0.115281773,0.091534096,0.042783579
2015-07,14,0,735,836,6503000,912590,126372,0,0.218569392,0.117987335,0.090929389,0.048898682
2015-07,35,0,408,447,5522000,773910,98724,0,0.197870046,0.082982857,0.049676025,0.028553628
2015-07,2,0,1399,1960,8986000,984940,66573,0,0.262919444,0.156645111,0.13470064,0.102698642
2015-07,77,0,96,107,2175000,359730,34226,0,0.186930654,0.158840143,0.125806548,
2015-07,21,0,571,643,5855000,838250,103001,0,0.196263101,0.105448283,0.076894305,0.0467006
2015-07,11,0,847,976,6968500,961335,130410,0,0.21046878,0.1176581,0.091722996,0.056012525
2015-07,19,0,588,642,5458500,777095,75109,0,0.156746389,0.083128602,0.05783808,0.028422186
2015-07,23,0,510,571,5776000,837460,92698,0,0.178113791,0.088294896,0.065086383,0.045311405
2015-07,22,0,537,614,5685000,814390,90944,0,0.177962547,0.085809611,0.05305376,0.024545038
2015-07,73,0,107,112,2476000,365910,49243,0,0.188922841,0.08705558,0.075722385,
2015-07,24,0,444,498,5176000,738540,59982,0,0.127849165,0.068548915,0.046047533,0.029421768
2015-07,13,0,816,955,7441000,1053710,147492,0,0.233935555,0.128197984,0.103978519,0.072818628
2015-07,46,0,328,377,6290000,778200,87035,714,0.156000538,0.054443635,0.038085262,0.020176137
2015-07,49,0,252,292,5781000,706240,87143,0,0.169551304,0.072826758,0.062430041,0.05365416
2015-07,43,0,355,392,5441000,688880,62274,0,0.127701898,0.046386928,0.030835635,0.014355586
2015-07,7,0,882,1092,6619000,926485,108070,0,0.193045245,0.111505699,0.077078038,0.047560382
2015-07,70,0,110,129,2651000,375730,30230,0,0.110218487,0.066797734,0.061457788,
2015-07,16,0,691,788,6336500,901555,134003,0,0.236156537,0.116590238,0.08598291,0.043534112
2015-07,44,0,360,414,6016000,779560,77420,0,0.142731431,0.066155583,0.054642964,0.03760494
2015-07,40,0,381,444,5976000,796290,63271,0,0.121657814,0.064114416,0.055811513,0.040558632
2015-07,62,0,134,150,2289000,318920,41107,4261,0.198682111,0.10339413,0.074411434,0.046333659
2015-07,42,0,370,438,6160000,792130,83390,0,0.150298408,0.089564098,0.067335321,0.038898191
2015-07,65,0,123,139,2526000,354800,43560,6817,0.189003402,0.088724712,0.045764885,0.029619472
