First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Default Rate Amount 365D
2014-05,85,0,4,5,72000,10960,2761,0,0.415983607,0.299856511,0.299856511,
2014-05,30,0,33,35,273500,37985,7162,0,0.287750614,0.11333372,0.031481388,0.000334069
2014-05,58,0,11,12,232000,29520,1524,0,0.072919853,0.048356929,0.027413665,0.027413665
2014-05,49,0,15,16,223000,27400,4939,0,0.247364217,0.028526782,0.025863656,0.000798938
2014-05,61,0,13,15,315000,43050,6104,0,0.213101522,0.130793565,0.122555293,0.095226196
2014-05,77,0,4,4,37000,5540,0,0,,,,
2014-05,62,0,13,15,313000,37470,6340,0,0.226261877,0.134872902,0.017541549,0.000137328
2014-05,37,0,25,27,290000,43520,2317,0,0.087266131,0.064081682,0.056637595,0.033382266
2014-05,88,0,2,2,38000,2900,0,0,,,,
2014-05,91,0,4,4,77000,12340,0,0,,,,
2014-05,63,0,8,8,206000,27900,2760,0,0.147498931,,,
2014-05,16,0,41,60,242000,12820,0,0,0.134219841,0.038465976,0.018844282,0.002362059
2014-05,46,0,13,14,197000,25590,2187,0,0.125158363,0.124772552,0.035266064,0.002362341
2014-05,64,0,10,11,221000,27340,6705,0,0.33752114,0.183916564,0.118771197,0.061918485
2014-05,65,0,11,11,194000,27890,3678,0,0.207219794,0.218816499,0.218816499,0.156733225
2014-05,23,0,35,40,270500,34895,3430,0,0.141146548,0.067936372,0.03175083,0.022392779
2014-05,11,0,39,50,195000,9700,334,0,0.164948454,0.041237113,0.041237113,0.020618557
2014-05,32,0,35,39,280500,39515,7831,0,0.30924316,0.227245261,0.14372739,0.032711853
2014-05,39,0,31,35,310000,45580,3245,0,0.116533551,0.106023828,0.085258831,0.04345851
2014-05,36,0,24,25,219000,32210,2294,0,0.161163966,0.098519156,0.098519156,0.098519156
2014-05,78,0,4,5,50000,6730,456,0,0.100475939,,,
2014-05,79,0,5,7,63000,8400,0,0,,,,
2014-05,76,0,3,3,27000,4530,0,0,,,,
2014-05,51,0,19,23,272000,36430,3312,0,0.135414843,0.128664088,0.072887195,0.072887195
2014-05,41,0,21,23,233000,34310,3089,0,0.16170364,0.171280219,0.118081058,0.105610598
2014-05,42,0,21,23,233000,34790,2915,0,0.136173868,0.09041946,0.081184315,0.044982546
2014-05,40,0,31,34,365000,56490,11147,0,0.331201215,0.304049353,0.18846978,0.152307824
2014-05,26,0,36,43,315500,41385,5970,0,0.21116298,0.075032451,0.075032451,0.002207218
2014-05,56,0,12,13,250000,31200,2532,0,0.112588905,0.072487418,0.013614961,3.88E-05
2014-05,33,0,27,32,214000,28900,2090,0,0.109905311,0.117090493,0.117090493,0.109335075
2014-05,89,0,5,5,78000,8180,0,0,,,,
2014-05,70,0,2,2,26000,3940,569,0,0.238476954,0.252679537,0.252679537,0.000786653
2014-05,48,0,16,18,245000,30720,1614,0,0.07392282,0.027439838,0.000775239,0.000775239
2014-05,71,0,2,2,35000,550,300,0,0.843881857,0.845188285,0.845188285,0.845188285
2014-05,9,0,35,53,205000,10248,672,0,0.114777725,0.03903372,0.03903372,0.03903372
2014-05,92,0,4,4,79000,11620,0,0,,,,
2014-05,83,0,5,7,65000,9380,571,0,0.095993547,0.102880549,0.102880549,
2014-05,68,0,9,9,158000,27120,3641,0,0.251242437,0.039340754,0.039340754,0.039340754
2014-05,55,0,16,18,283000,36570,5518,0,0.216384517,0.090095605,0.090095605,0.075345753
2014-05,34,0,30,35,284500,40155,6446,0,0.248417551,0.118957659,0.073690505,0.030235487
2014-05,27,0,37,44,342000,46620,7674,0,0.247197519,0.187284945,0.101124165,0.049243491
2014-05,90,0,5,5,94000,10860,0,0,,,,
2014-05,5,0,58,80,306000,15100,2700,0,0.173423297,0.12376248,0.107681835,0.106735914
2014-05,20,0,44,64,340000,43880,3200,0,0.107429145,0.048103493,0.048103493,0.025705022
2014-05,87,0,4,4,67000,9870,0,0,,,,
2014-05,47,0,13,14,203000,26950,3209,0,0.174616221,0.026818609,0.026818609,0.000184424
2014-05,59,0,10,11,217000,27350,4596,0,0.235113567,0.104769709,0.104769709,0.104769709
2014-05,18,0,41,53,250000,30080,2544,0,0.123803556,0.103621911,0.097779548,0.059786488
2014-05,2,0,86,117,459000,22950,3888,0,0.152920427,0.129100529,0.123353045,0.110799876
2014-05,13,0,39,60,233000,11650,0,0,0.161250766,0.027999183,0.01818925,0.004986716
2014-05,86,0,5,6,83000,12360,821,0,0.107592282,0.115209865,0.115209865,
2014-05,38,0,21,22,251000,36570,1564,0,0.069645651,0.04890466,0.04890466,0.001653213
2014-05,7,0,47,65,248000,12400,1034,0,0.139784946,0.102150538,0.091397849,0.071121352
2014-05,52,0,14,17,243000,32990,355,0,0.017015109,0.000926378,0.000926378,0.000926378
2014-05,14,0,39,60,234000,11700,0,0,0.163216728,0.077750712,0.043562678,0.009374644
2014-05,3,0,70,97,365000,18250,3092,0,0.201696021,0.142987606,0.125505545,0.112328767
2014-05,12,0,35,47,186000,9300,480,0,0.13312852,0.043010753,0.043010753,0.030721966
2014-05,93,0,4,4,84000,9560,0,0,,,,
2014-05,80,0,5,6,66000,10420,2444,0,0.399633604,0.390342869,0.390342869,0.265444309
2014-05,22,0,36,55,347500,43545,3550,0,0.114079837,0.087989838,0.081147379,0.008769371
2014-05,84,0,2,2,24000,3960,0,0,,,,
2014-05,8,0,41,50,195000,9750,1248,0,0.28034188,0.186568987,0.166056166,0.092796093
2014-05,57,0,15,16,294000,41480,3436,0,0.151535114,0.112986699,0.000345218,0.000345218
2014-05,73,0,1,1,5000,550,0,0,0.036036036,0.036036036,0.036036036,0.036036036
2014-05,31,0,32,37,280500,39435,5046,0,0.228319659,0.20214551,0.10176118,0.08265237
2014-05,81,0,3,3,29000,3670,0,0,,,,
2014-05,29,0,30,32,256000,35880,5266,0,0.225983281,0.183219697,0.173376051,0.066209877
2014-05,1,0,137,201,760000,38000,7088,0,0.205513784,0.1660401,0.146867168,0.117919799
2014-05,72,0,1,1,5000,550,0,0,,,,
2014-05,53,0,16,18,245000,36190,6084,0,0.271172517,0.112620704,0.086697717,0.08388159
