First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Ftbs,Borrower Retention,Loans Per Borrower,Loan Size,Interest Rate,Total Revenue Of Originations,Loans Per Original,Originations Per Original,Revenue Per Original
2020-10,14,0,1177,1340,27104000,3954670,224297,0,0.1023859731,0.05737389757,0.06545694716,10314,0.1141167345,1.138487681,20226.86567,0.1459072462,0.1541826668,0.1299204964,2627.884429,405.1742292
2020-10,1,0,5296,6533,38258000,5218190,545877,50115,0.1574862502,0.118760027,0.1098309334,10314,0.5134768276,1.233572508,5856.115108,0.136394741,0.1493531288,0.6334108978,3709.327128,553.9996122
2020-10,7,0,2181,2516,36099000,4852540,318918,184,0.09833315649,0.08025911426,0.07314485744,10314,0.2114601513,1.153599266,14347.77424,0.1344231142,0.1432525555,0.2439402754,3500,501.3839442
2020-10,6,0,2377,2729,35402000,4776020,334180,0,0.1049830863,0.08078497342,0.07650665725,10314,0.2304634477,1.148085822,12972.51741,0.1349081973,0.144347777,0.2645918169,3432.421951,495.4624782
2020-10,5,0,2667,3149,35534000,4807250,349718,190,0.109984677,0.08223748818,0.07677359752,10314,0.2585805701,1.180727409,11284.21721,0.1352859233,0.1451223617,0.3053131666,3445.220089,499.9784759
2020-10,17,0,2,2,33000,4050,0,0,,,,10314,0.0001939111887,1,16500,0.1227272727,0.1227272727,0.0001939111887,3.199534613,0.3926701571
2020-10,10,0,1621,1870,33467000,4496030,280872,0,0.09416595916,0.07148862582,0.06719834707,10314,0.1571650184,1.153608883,17896.79144,0.1343421878,0.1427346939,0.1813069614,3244.812876,463.1473725
2020-10,12,0,1457,1646,31466000,4190010,300537,275,0.1067083501,0.07374005766,0.06827883935,10314,0.141264301,1.1297186,19116.64642,0.1331599186,0.1427023454,0.1595889083,3050.804731,435.3569905
2020-10,11,0,1523,1713,32018000,4279060,317158,0,0.1111374585,0.08907780032,0.08484682098,10314,0.1476633702,1.124753775,18691.18506,0.1336454494,0.143551065,0.1660849331,3104.32422,445.6290479
2020-10,2,0,4369,5227,37132000,5084890,483007,26677,0.143298235,0.1060568132,0.0989219248,10314,0.4235989917,1.196383612,7103.883681,0.1369409135,0.1492303135,0.5067868916,3600.155129,537.2522785
