cohort,cumulative_ltv_per_original
2020-09,75.58710739849975
2020-10,69.3029071919081
2020-11,63.93990881626715
2020-12,75.5082614328663
2021-01,60.44270689576764
2021-02,72.3448635541391
2021-03,88.74224198279346
2021-04,89.4683772821082
2021-05,86.00753600806813
2021-06,80.40834708225024
2021-07,80.12291978347594
2021-08,73.76047770310423
2021-09,72.27985145270507
2021-10,62.220112501896445
2021-11,60.27587399243242
2021-12,73.757238559944
2022-01,81.68095436764808
2022-02,90.55899634159006
2022-03,89.66311284159039
